Syllogism,Human,Bert_simple,Bert_Chelma,Bart_MNLI,counts
AA1,0.7884615384615384,0.8173076923076923,0.5096153846153846,0.8846153846153846,104
AA2,0.696969696969697,0.45454545454545453,0.1717171717171717,0.494949494949495,99
AA4,0.3069306930693069,0.1485148514851485,0.0,0.0,101
AE1,0.8921568627450981,0.06862745098039216,0.0784313725490196,1.0,102
AE2,0.12,0.01,0.0,0.0,100
AE3,0.8080808080808081,0.04040404040404041,0.08080808080808081,1.0,99
AE4,0.2,0.02,0.0,0.0,100
AI2,0.8058252427184466,0.7378640776699029,0.1650485436893204,0.3786407766990291,103
AI4,0.7722772277227723,0.7326732673267327,0.1485148514851485,0.8910891089108911,101
AO3,0.32323232323232326,0.13131313131313133,0.050505050505050504,0.9191919191919192,99
AO4,0.6041666666666666,0.2708333333333333,0.15625,0.8854166666666666,96
EA1,0.050505050505050504,0.010101010101010102,0.0,0.010101010101010102,99
EA2,0.8857142857142857,0.009523809523809525,0.047619047619047616,0.9809523809523809,105
EA3,0.8484848484848485,0.030303030303030304,0.020202020202020204,0.9393939393939394,99
EA4,0.10679611650485436,0.009708737864077669,0.0,0.0,103
EI1,0.21,0.01,0.01,0.6,100
EI2,0.411214953271028,0.037383177570093455,0.0,0.5607476635514018,107
EI3,0.2871287128712871,0.019801980198019802,0.009900990099009901,0.19801980198019803,101
EI4,0.26,0.01,0.01,0.75,100
IA1,0.6989247311827957,0.6989247311827957,0.16129032258064516,0.5806451612903226,93
IA4,0.3617021276595745,0.6382978723404256,0.14893617021276595,0.425531914893617,94
IE1,0.36633663366336633,0.009900990099009901,0.019801980198019802,0.1485148514851485,101
IE2,0.125,0.020833333333333332,0.010416666666666666,0.03125,96
IE3,0.2857142857142857,0.05714285714285714,0.009523809523809525,0.05714285714285714,105
IE4,0.28440366972477066,0.027522935779816515,0.01834862385321101,0.03669724770642202,109
