task_form,succes_mnli
AA1,0.36538461538461536
AA2,0.04040404040404041
AA3,0.7070707070707071
AA4,0.0
AE1,1.0
AE2,0.0
AE3,0.9797979797979798
AE4,0.0
AI1,0.09900990099009901
AI2,0.1553398058252427
AI3,0.48598130841121495
AI4,0.7029702970297029
AO1,0.019801980198019802
AO2,0.018867924528301886
AO3,0.8585858585858586
AO4,0.8333333333333334
EA1,0.0
EA2,0.3904761904761905
EA3,0.16161616161616163
EA4,0.0
EE1,0.009523809523809525
EE2,0.17307692307692307
EE3,0.14285714285714285
EE4,0.0
EI1,0.59
EI2,0.48598130841121495
EI3,0.15841584158415842
EI4,0.73
EO1,0.056074766355140186
EO2,0.0
EO3,0.009345794392523364
EO4,0.05714285714285714
IA1,0.053763440860215055
IA2,0.8490566037735849
IA3,0.6666666666666666
IA4,0.0425531914893617
IE1,0.1485148514851485
IE2,0.03125
IE3,0.05714285714285714
IE4,0.03669724770642202
II1,0.6285714285714286
II2,0.8686868686868687
II3,0.7614678899082569
II4,0.5918367346938775
IO1,0.10784313725490197
IO2,0.10576923076923077
IO3,0.39603960396039606
IO4,0.20430107526881722
OA1,0.0
OA2,0.6448598130841121
OA3,0.11578947368421053
OA4,0.4489795918367347
OE1,0.0
OE2,0.13592233009708737
OE3,0.04
OE4,0.009615384615384616
OI1,0.1792452830188679
OI2,0.6372549019607843
OI3,0.3627450980392157
OI4,0.4166666666666667
OO1,0.26
OO2,0.4811320754716981
OO3,0.06930693069306931
OO4,0.6666666666666666
