task_form,succes_mnli_70
AA1,0.2403846153846154
AA2,0.010101010101010102
AA3,0.8181818181818182
AA4,0.0
AE1,1.0
AE2,0.0
AE3,0.9494949494949495
AE4,0.0
AI1,0.2376237623762376
AI2,0.038834951456310676
AI3,0.8598130841121495
AI4,0.5742574257425742
AO1,0.16831683168316833
AO2,0.04716981132075472
AO3,0.5656565656565656
AO4,0.6979166666666666
EA1,0.0
EA2,0.14285714285714285
EA3,0.08080808080808081
EA4,0.0
EE1,0.09523809523809523
EE2,0.625
EE3,0.45918367346938777
EE4,0.018867924528301886
EI1,0.39
EI2,0.19626168224299065
EI3,0.039603960396039604
EI4,0.38
EO1,0.4672897196261682
EO2,0.0
EO3,0.11214953271028037
EO4,0.29523809523809524
IA1,0.010752688172043012
IA2,0.9905660377358491
IA3,0.9215686274509803
IA4,0.031914893617021274
IE1,0.1485148514851485
IE2,0.03125
IE3,0.0380952380952381
IE4,0.03669724770642202
II1,0.8095238095238095
II2,0.9797979797979798
II3,0.8990825688073395
II4,0.6836734693877551
IO1,0.4803921568627451
IO2,0.3076923076923077
IO3,0.7029702970297029
IO4,0.45161290322580644
OA1,0.10101010101010101
OA2,0.8504672897196262
OA3,0.45263157894736844
OA4,0.6020408163265306
OE1,0.02830188679245283
OE2,0.7087378640776699
OE3,0.32
OE4,0.23076923076923078
OI1,0.6037735849056604
OI2,0.8921568627450981
OI3,0.696078431372549
OI4,0.6875
OO1,0.61
OO2,0.839622641509434
OO3,0.32673267326732675
OO4,0.8484848484848485
