,has_conclusion,task_form,human_right,count,mean_mnli
0,False,AA3,False,57,0.43859649122807015
1,False,AA3,True,42,0.0
2,False,AI1,False,88,0.625
3,False,AI1,True,13,0.0
4,False,AI3,False,70,0.14285714285714285
5,False,AI3,True,37,0.0
6,False,AO1,False,89,0.5842696629213483
7,False,AO1,True,12,0.0
8,False,AO2,False,87,0.39080459770114945
9,False,AO2,True,19,0.0
10,False,EE1,False,58,0.3448275862068966
11,False,EE1,True,47,0.0
12,False,EE2,False,65,0.24615384615384617
13,False,EE2,True,39,0.0
14,False,EE3,False,34,0.29411764705882354
15,False,EE3,True,64,0.0
16,False,EE4,False,41,0.3902439024390244
17,False,EE4,True,65,0.0
18,False,EO1,False,59,0.22033898305084745
19,False,EO1,True,48,0.0
20,False,EO2,False,68,0.35294117647058826
21,False,EO2,True,33,0.0
22,False,EO3,False,63,0.30158730158730157
23,False,EO3,True,44,0.0
24,False,EO4,False,66,0.10606060606060606
25,False,EO4,True,39,0.0
26,False,IA2,False,96,0.20833333333333334
27,False,IA2,True,10,0.0
28,False,IA3,False,81,0.25925925925925924
29,False,IA3,True,21,0.0
30,False,II1,False,69,0.4927536231884058
31,False,II1,True,36,0.0
32,False,II2,False,68,0.23529411764705882
33,False,II2,True,31,0.0
34,False,II3,False,51,0.23529411764705882
35,False,II3,True,58,0.0
36,False,II4,False,48,0.375
37,False,II4,True,50,0.0
38,False,IO1,False,75,0.4266666666666667
39,False,IO1,True,27,0.0
40,False,IO2,False,70,0.37142857142857144
41,False,IO2,True,34,0.0
42,False,IO3,False,54,0.24074074074074073
43,False,IO3,True,47,0.0
44,False,IO4,False,58,0.4482758620689655
45,False,IO4,True,35,0.0
46,False,OA1,False,83,0.39759036144578314
47,False,OA1,True,16,0.0
48,False,OA2,False,94,0.3723404255319149
49,False,OA2,True,13,0.0
50,False,OA3,False,80,0.425
51,False,OA3,True,15,0.0
52,False,OA4,False,88,0.4659090909090909
53,False,OA4,True,10,0.0
54,False,OE1,False,74,0.1891891891891892
55,False,OE1,True,32,0.0
56,False,OE2,False,62,0.16129032258064516
57,False,OE2,True,41,0.0
58,False,OE3,False,69,0.2028985507246377
59,False,OE3,True,31,0.0
60,False,OE4,False,64,0.125
61,False,OE4,True,40,0.0
62,False,OO1,False,67,0.47761194029850745
63,False,OO1,True,33,0.0
64,False,OO2,False,64,0.421875
65,False,OO2,True,42,0.0
66,False,OO3,False,39,0.20512820512820512
67,False,OO3,True,62,0.0
68,False,OO4,False,39,0.20512820512820512
69,False,OO4,True,60,0.0
70,True,AA1,False,22,0.09090909090909091
71,True,AA1,True,82,0.8048780487804879
72,True,AA2,False,30,0.4
73,True,AA2,True,69,0.3188405797101449
74,True,AA4,False,70,0.5
75,True,AA4,True,31,0.0
76,True,AE1,False,11,0.0
77,True,AE1,True,91,0.7032967032967034
78,True,AE2,False,88,0.3409090909090909
79,True,AE2,True,12,0.0
80,True,AE3,False,19,0.0
81,True,AE3,True,80,0.45
82,True,AE4,False,80,0.35
83,True,AE4,True,20,0.0
84,True,AI2,False,20,0.2
85,True,AI2,True,83,0.10843373493975904
86,True,AI4,False,23,0.043478260869565216
87,True,AI4,True,78,0.6410256410256411
88,True,AO3,False,67,0.014925373134328358
89,True,AO3,True,32,0.875
90,True,AO4,False,38,0.0
91,True,AO4,True,58,0.9137931034482759
92,True,EA1,False,94,0.14893617021276595
93,True,EA1,True,5,0.0
94,True,EA2,False,12,0.0
95,True,EA2,True,93,0.34408602150537637
96,True,EA3,False,15,0.06666666666666667
97,True,EA3,True,84,0.34523809523809523
98,True,EA4,False,92,0.33695652173913043
99,True,EA4,True,11,0.0
100,True,EI1,False,79,0.05063291139240506
101,True,EI1,True,21,0.5238095238095238
102,True,EI2,False,63,0.015873015873015872
103,True,EI2,True,44,0.5227272727272727
104,True,EI3,False,72,0.08333333333333333
105,True,EI3,True,29,0.20689655172413793
106,True,EI4,False,74,0.04054054054054054
107,True,EI4,True,26,0.6923076923076923
108,True,IA1,False,28,0.10714285714285714
109,True,IA1,True,65,0.2
110,True,IA4,False,60,0.2
111,True,IA4,True,34,0.38235294117647056
112,True,IE1,False,64,0.203125
113,True,IE1,True,37,0.13513513513513514
114,True,IE2,False,84,0.21428571428571427
115,True,IE2,True,12,0.0
116,True,IE3,False,75,0.2
117,True,IE3,True,30,0.0
118,True,IE4,False,78,0.16666666666666666
119,True,IE4,True,31,0.03225806451612903
