,task_form,count,mean_mnli_human_right,mean_mnli_human_false,mean_simple_human_right,mean_simple_human_false,succes_human
0,AA3,42,0.0,0.43859649122807015,0.0,0.42105263157894735,0.4242424242424242
1,AI1,13,0.0,0.625,0.0,0.36363636363636365,0.1287128712871287
2,AI3,37,0.0,0.14285714285714285,0.0,0.3,0.3457943925233644
3,AO1,12,0.0,0.5842696629213483,0.0,0.33707865168539325,0.1188118811881188
4,AO2,19,0.0,0.39080459770114945,0.0,0.14942528735632185,0.1792452830188679
5,EE1,47,0.0,0.3448275862068966,0.0,0.06896551724137931,0.4476190476190476
6,EE2,39,0.0,0.24615384615384617,0.0,0.07692307692307693,0.375
7,EE3,64,0.0,0.29411764705882354,0.0,0.08823529411764706,0.6530612244897959
8,EE4,65,0.0,0.3902439024390244,0.0,0.07317073170731707,0.6132075471698113
9,EO1,48,0.0,0.22033898305084745,0.0,0.06779661016949153,0.4485981308411215
10,EO2,33,0.0,0.35294117647058826,0.0,0.14705882352941177,0.3267326732673267
11,EO3,44,0.0,0.30158730158730157,0.0,0.15873015873015872,0.411214953271028
12,EO4,39,0.0,0.10606060606060606,0.0,0.13636363636363635,0.3714285714285714
13,IA2,10,0.0,0.20833333333333334,0.0,0.22916666666666666,0.0943396226415094
14,IA3,21,0.0,0.25925925925925924,0.0,0.2962962962962963,0.2058823529411764
15,II1,36,0.0,0.4927536231884058,0.0,0.4927536231884058,0.3428571428571428
16,II2,31,0.0,0.23529411764705882,0.0,0.3382352941176471,0.3131313131313131
17,II3,58,0.0,0.23529411764705882,0.0,0.47058823529411764,0.5321100917431193
18,II4,50,0.0,0.375,0.0,0.3541666666666667,0.5102040816326531
19,IO1,27,0.0,0.4266666666666667,0.0,0.21333333333333335,0.2647058823529412
20,IO2,34,0.0,0.37142857142857144,0.0,0.1,0.3269230769230769
21,IO3,47,0.0,0.24074074074074073,0.0,0.2962962962962963,0.4653465346534653
22,IO4,35,0.0,0.4482758620689655,0.0,0.29310344827586204,0.3763440860215054
23,OA1,16,0.0,0.39759036144578314,0.0,0.1927710843373494,0.1616161616161616
24,OA2,13,0.0,0.3723404255319149,0.0,0.05319148936170213,0.1214953271028037
25,OA3,15,0.0,0.425,0.0,0.125,0.1578947368421052
26,OA4,10,0.0,0.4659090909090909,0.0,0.20454545454545456,0.1020408163265306
27,OE1,32,0.0,0.1891891891891892,0.0,0.3108108108108108,0.3018867924528302
28,OE2,41,0.0,0.16129032258064516,0.0,0.14516129032258066,0.3980582524271844
29,OE3,31,0.0,0.2028985507246377,0.0,0.2463768115942029,0.31
30,OE4,40,0.0,0.125,0.0,0.171875,0.3846153846153846
31,OO1,33,0.0,0.47761194029850745,0.0,0.208955223880597,0.33
32,OO2,42,0.0,0.421875,0.0,0.234375,0.3962264150943396
33,OO3,62,0.0,0.20512820512820512,0.0,0.20512820512820512,0.6138613861386139
34,OO4,60,0.0,0.20512820512820512,0.0,0.15384615384615385,0.6060606060606061
