task_form,succes_simple_0.999996
AA1,0.8173076923076923
AA2,0.45454545454545453
AA3,0.0
AA4,0.1485148514851485
AE1,0.06862745098039216
AE2,0.01
AE3,0.04040404040404041
AE4,0.02
AI1,0.0
AI2,0.7378640776699029
AI3,0.0
AI4,0.7326732673267327
AO1,0.0
AO2,0.0
AO3,0.13131313131313133
AO4,0.2708333333333333
EA1,0.010101010101010102
EA2,0.009523809523809525
EA3,0.030303030303030304
EA4,0.009708737864077669
EE1,0.0
EE2,0.0
EE3,0.0
EE4,0.0
EI1,0.01
EI2,0.037383177570093455
EI3,0.019801980198019802
EI4,0.01
EO1,0.0
EO2,0.0
EO3,0.0
EO4,0.0
IA1,0.6989247311827957
IA2,0.0
IA3,0.0
IA4,0.6382978723404256
IE1,0.009900990099009901
IE2,0.020833333333333332
IE3,0.05714285714285714
IE4,0.027522935779816515
II1,0.0
II2,0.0
II3,0.0
II4,0.0
IO1,0.0
IO2,0.0
IO3,0.0
IO4,0.0
OA1,0.0
OA2,0.0
OA3,0.0
OA4,0.0
OE1,0.0
OE2,0.0
OE3,0.0
OE4,0.0
OI1,0.0
OI2,0.0
OI3,0.0
OI4,0.0
OO1,0.0
OO2,0.0
OO3,0.0
OO4,0.0
